,time,temp,hum,wind,weather,date
0,11:52 PM,75F,79%,5mph,Partly Cloudy,2017-08-01
1,12:52 AM,74F,87%,6mph,Fair,2017-08-01
2,1:52 AM,73F,87%,5mph,Fair,2017-08-01
3,2:52 AM,73F,87%,0mph,Fair,2017-08-01
4,3:52 AM,71F,90%,5mph,Mostly Cloudy,2017-08-01
5,4:52 AM,72F,87%,0mph,Fair,2017-08-01
6,5:52 AM,73F,87%,0mph,Fair,2017-08-01
7,6:52 AM,76F,74%,5mph,Fair,2017-08-01
8,7:52 AM,80F,62%,8mph,Fair,2017-08-01
9,8:52 AM,82F,60%,7mph,Partly Cloudy,2017-08-01
10,9:52 AM,86F,53%,5mph,Fair,2017-08-01
11,10:52 AM,87F,51%,6mph,Fair,2017-08-01
12,11:52 AM,86F,48%,5mph,Partly Cloudy,2017-08-01
13,12:52 PM,90F,42%,3mph,Partly Cloudy,2017-08-01
14,1:52 PM,88F,49%,8mph,Fair,2017-08-01
15,2:52 PM,88F,49%,8mph,Fair,2017-08-01
16,3:52 PM,87F,49%,13mph,Partly Cloudy,2017-08-01
17,4:52 PM,82F,58%,18mph,Mostly Cloudy,2017-08-01
18,4:55 PM,82F,60%,16mph,Thunder,2017-08-01
19,5:13 PM,79F,72%,16mph,Mostly Cloudy,2017-08-01
20,5:29 PM,81F,65%,20mph,Mostly Cloudy,2017-08-01
21,5:52 PM,78F,74%,21mph,Mostly Cloudy / Windy,2017-08-01
22,6:52 PM,78F,68%,6mph,Mostly Cloudy,2017-08-01
23,7:52 PM,79F,62%,0mph,Mostly Cloudy,2017-08-01
24,8:52 PM,78F,76%,0mph,Mostly Cloudy,2017-08-01
25,9:52 PM,78F,74%,3mph,Cloudy,2017-08-01
26,10:52 PM,78F,71%,0mph,Cloudy,2017-08-01
27,11:52 PM,78F,74%,3mph,Mostly Cloudy,2017-08-02
28,12:52 AM,77F,76%,5mph,Cloudy,2017-08-02
29,1:52 AM,76F,85%,6mph,Cloudy,2017-08-02
30,2:52 AM,76F,82%,3mph,Cloudy,2017-08-02
31,3:52 AM,76F,85%,0mph,Cloudy,2017-08-02
32,4:52 AM,74F,91%,5mph,Mostly Cloudy,2017-08-02
33,5:52 AM,74F,87%,5mph,Mostly Cloudy,2017-08-02
34,6:52 AM,76F,85%,6mph,Mostly Cloudy,2017-08-02
35,7:52 AM,77F,82%,5mph,Mostly Cloudy,2017-08-02
36,8:52 AM,81F,74%,0mph,Partly Cloudy,2017-08-02
37,9:52 AM,83F,67%,7mph,Partly Cloudy,2017-08-02
38,10:52 AM,85F,61%,10mph,Partly Cloudy,2017-08-02
39,11:52 AM,87F,51%,14mph,Partly Cloudy,2017-08-02
40,12:52 PM,88F,59%,10mph,Partly Cloudy,2017-08-02
41,1:52 PM,88F,57%,10mph,Partly Cloudy,2017-08-02
42,2:52 PM,90F,50%,15mph,Mostly Cloudy,2017-08-02
43,3:52 PM,89F,46%,14mph,Mostly Cloudy,2017-08-02
44,4:52 PM,87F,49%,16mph,Mostly Cloudy,2017-08-02
45,5:52 PM,86F,49%,13mph,Cloudy,2017-08-02
46,6:52 PM,80F,67%,9mph,Mostly Cloudy,2017-08-02
47,7:52 PM,79F,69%,5mph,Fair,2017-08-02
48,8:52 PM,78F,74%,5mph,Mostly Cloudy,2017-08-02
49,9:52 PM,78F,76%,0mph,Mostly Cloudy,2017-08-02
50,10:52 PM,77F,82%,7mph,Mostly Cloudy,2017-08-02
51,11:52 PM,76F,85%,6mph,Partly Cloudy,2017-08-03
52,12:52 AM,75F,84%,7mph,Fair,2017-08-03
53,1:52 AM,75F,84%,3mph,Fair,2017-08-03
54,2:52 AM,75F,84%,6mph,Fair,2017-08-03
55,3:52 AM,73F,87%,6mph,Fair,2017-08-03
56,4:52 AM,73F,87%,8mph,Fair,2017-08-03
57,5:52 AM,73F,87%,6mph,Fair,2017-08-03
58,6:52 AM,74F,87%,3mph,Fair,2017-08-03
59,7:52 AM,77F,82%,5mph,Fair,2017-08-03
60,8:52 AM,80F,74%,0mph,Partly Cloudy,2017-08-03
61,9:52 AM,84F,67%,3mph,Mostly Cloudy,2017-08-03
62,10:52 AM,86F,61%,3mph,Cloudy,2017-08-03
63,11:52 AM,87F,59%,0mph,Partly Cloudy,2017-08-03
64,12:52 PM,88F,55%,6mph,Partly Cloudy,2017-08-03
65,1:52 PM,89F,53%,9mph,Partly Cloudy,2017-08-03
66,2:52 PM,89F,55%,12mph,Mostly Cloudy,2017-08-03
67,3:52 PM,88F,61%,13mph,Mostly Cloudy,2017-08-03
68,4:52 PM,87F,63%,9mph,Mostly Cloudy,2017-08-03
69,5:40 PM,80F,76%,15mph,Rain,2017-08-03
70,5:43 PM,77F,84%,20mph,T-Storm,2017-08-03
71,5:52 PM,73F,84%,17mph,Light Rain with Thunder,2017-08-03
72,6:04 PM,73F,87%,15mph,T-Storm,2017-08-03
73,6:21 PM,75F,84%,9mph,Light Rain,2017-08-03
74,6:39 PM,74F,91%,8mph,Mostly Cloudy,2017-08-03
75,6:52 PM,74F,91%,6mph,Mostly Cloudy,2017-08-03
76,7:00 PM,74F,91%,6mph,Mostly Cloudy,2017-08-03
77,7:52 PM,75F,90%,7mph,Partly Cloudy,2017-08-03
78,8:52 PM,75F,90%,7mph,Partly Cloudy,2017-08-03
79,9:52 PM,75F,90%,5mph,Partly Cloudy,2017-08-03
80,10:52 PM,75F,94%,0mph,Fair,2017-08-03
81,11:52 PM,76F,87%,0mph,Fair,2017-08-04
82,12:52 AM,77F,82%,7mph,Fair,2017-08-04
83,1:52 AM,76F,85%,8mph,Fair,2017-08-04
84,2:52 AM,76F,82%,8mph,Fair,2017-08-04
85,3:52 AM,75F,84%,7mph,Fair,2017-08-04
86,4:52 AM,75F,82%,8mph,Partly Cloudy,2017-08-04
87,5:52 AM,75F,84%,8mph,Partly Cloudy,2017-08-04
88,6:52 AM,76F,82%,9mph,Fair,2017-08-04
89,7:52 AM,78F,81%,9mph,Fair,2017-08-04
90,8:52 AM,80F,76%,9mph,Fair,2017-08-04
91,9:52 AM,82F,71%,9mph,Fair,2017-08-04
92,10:52 AM,85F,65%,10mph,Fair,2017-08-04
93,11:52 AM,88F,63%,9mph,Fair,2017-08-04
94,12:52 PM,89F,55%,13mph,Fair,2017-08-04
95,1:52 PM,89F,53%,14mph,Partly Cloudy,2017-08-04
96,2:52 PM,89F,53%,14mph,Partly Cloudy,2017-08-04
97,3:52 PM,88F,55%,14mph,Partly Cloudy,2017-08-04
98,4:52 PM,87F,55%,16mph,Fair,2017-08-04
99,5:52 PM,85F,61%,12mph,Fair,2017-08-04
100,6:52 PM,83F,63%,12mph,Partly Cloudy,2017-08-04
101,7:52 PM,81F,69%,9mph,Mostly Cloudy,2017-08-04
102,8:52 PM,80F,74%,14mph,Mostly Cloudy,2017-08-04
103,9:52 PM,79F,82%,10mph,Mostly Cloudy,2017-08-04
104,10:52 PM,79F,82%,13mph,Cloudy,2017-08-04
105,11:52 PM,79F,82%,13mph,Cloudy,2017-08-05
106,12:52 AM,79F,79%,6mph,Cloudy,2017-08-05
107,1:52 AM,79F,79%,6mph,Cloudy,2017-08-05
108,2:52 AM,78F,81%,3mph,Cloudy,2017-08-05
109,3:52 AM,77F,79%,12mph,Cloudy,2017-08-05
110,4:52 AM,76F,79%,9mph,Cloudy,2017-08-05
111,5:52 AM,75F,79%,8mph,Mostly Cloudy,2017-08-05
112,6:52 AM,74F,82%,13mph,Mostly Cloudy,2017-08-05
113,7:52 AM,75F,66%,18mph,Mostly Cloudy,2017-08-05
114,8:52 AM,75F,55%,17mph,Partly Cloudy,2017-08-05
115,9:52 AM,75F,48%,22mph,Partly Cloudy / Windy,2017-08-05
116,10:52 AM,76F,46%,24mph,Partly Cloudy / Windy,2017-08-05
117,11:52 AM,78F,46%,18mph,Partly Cloudy,2017-08-05
118,12:52 PM,76F,46%,20mph,Mostly Cloudy,2017-08-05
119,1:52 PM,80F,45%,8mph,Partly Cloudy,2017-08-05
120,2:52 PM,81F,42%,13mph,Fair,2017-08-05
121,3:52 PM,80F,42%,16mph,Fair,2017-08-05
122,4:31 PM,79F,42%,15mph,Mostly Cloudy,2017-08-05
123,4:52 PM,80F,40%,12mph,Partly Cloudy,2017-08-05
124,5:52 PM,78F,43%,13mph,Partly Cloudy,2017-08-05
125,6:52 PM,77F,45%,12mph,Partly Cloudy,2017-08-05
126,7:52 PM,75F,46%,5mph,Partly Cloudy,2017-08-05
127,8:52 PM,75F,48%,3mph,Fair,2017-08-05
128,9:52 PM,73F,53%,5mph,Fair,2017-08-05
129,10:52 PM,73F,55%,8mph,Partly Cloudy,2017-08-05
130,11:52 PM,71F,59%,7mph,Partly Cloudy,2017-08-06
131,12:52 AM,71F,59%,6mph,Mostly Cloudy,2017-08-06
132,1:52 AM,70F,61%,3mph,Mostly Cloudy,2017-08-06
133,2:52 AM,67F,73%,6mph,Mostly Cloudy,2017-08-06
134,3:52 AM,68F,70%,5mph,Mostly Cloudy,2017-08-06
135,4:52 AM,68F,73%,0mph,Mostly Cloudy,2017-08-06
136,5:52 AM,70F,65%,0mph,Cloudy,2017-08-06
137,6:52 AM,71F,70%,6mph,Cloudy,2017-08-06
138,7:52 AM,72F,64%,6mph,Cloudy,2017-08-06
139,8:52 AM,74F,59%,6mph,Mostly Cloudy,2017-08-06
140,9:52 AM,76F,54%,7mph,Mostly Cloudy,2017-08-06
141,10:52 AM,78F,52%,7mph,Mostly Cloudy,2017-08-06
142,11:52 AM,80F,52%,6mph,Mostly Cloudy,2017-08-06
143,12:52 PM,81F,49%,3mph,Mostly Cloudy,2017-08-06
144,1:52 PM,81F,49%,7mph,Mostly Cloudy,2017-08-06
145,2:52 PM,81F,49%,8mph,Cloudy,2017-08-06
146,3:52 PM,81F,49%,8mph,Mostly Cloudy,2017-08-06
147,4:52 PM,81F,50%,7mph,Cloudy,2017-08-06
148,5:52 PM,80F,50%,3mph,Mostly Cloudy,2017-08-06
149,6:52 PM,79F,52%,6mph,Cloudy,2017-08-06
150,7:52 PM,78F,58%,6mph,Mostly Cloudy,2017-08-06
151,8:52 PM,76F,69%,9mph,Mostly Cloudy,2017-08-06
152,9:52 PM,76F,64%,7mph,Mostly Cloudy,2017-08-06
153,10:52 PM,76F,67%,10mph,Cloudy,2017-08-06
154,11:52 PM,76F,69%,9mph,Light Rain,2017-08-07
155,12:52 AM,74F,73%,10mph,Light Rain,2017-08-07
