,time,temp,hum,wind,weather,date
0,11:52 PM,81F,72%,15mph,Cloudy,2017-07-01
1,12:28 AM,80F,74%,10mph,Cloudy,2017-07-01
2,12:52 AM,80F,74%,14mph,Cloudy,2017-07-01
3,1:52 AM,79F,77%,15mph,Cloudy,2017-07-01
4,2:52 AM,77F,79%,14mph,Mostly Cloudy,2017-07-01
5,3:11 AM,77F,79%,13mph,Mostly Cloudy,2017-07-01
6,3:52 AM,78F,79%,10mph,Mostly Cloudy,2017-07-01
7,4:52 AM,77F,84%,12mph,Mostly Cloudy,2017-07-01
8,4:59 AM,77F,84%,10mph,Cloudy,2017-07-01
9,5:14 AM,77F,84%,13mph,Mostly Cloudy,2017-07-01
10,5:25 AM,77F,84%,13mph,Mostly Cloudy,2017-07-01
11,5:32 AM,77F,84%,13mph,Mostly Cloudy,2017-07-01
12,5:52 AM,78F,81%,12mph,Mostly Cloudy,2017-07-01
13,6:52 AM,78F,84%,12mph,Cloudy,2017-07-01
14,7:52 AM,80F,79%,15mph,Cloudy,2017-07-01
15,8:52 AM,82F,74%,15mph,Cloudy,2017-07-01
16,9:52 AM,83F,72%,14mph,Cloudy,2017-07-01
17,10:02 AM,84F,69%,13mph,Cloudy,2017-07-01
18,10:05 AM,84F,69%,12mph,Cloudy,2017-07-01
19,10:26 AM,85F,67%,8mph,Mostly Cloudy,2017-07-01
20,10:52 AM,87F,63%,10mph,Mostly Cloudy,2017-07-01
21,11:52 AM,87F,65%,15mph,Mostly Cloudy,2017-07-01
22,12:52 PM,89F,61%,16mph,Mostly Cloudy,2017-07-01
23,1:52 PM,91F,57%,15mph,Partly Cloudy,2017-07-01
24,2:23 PM,93F,54%,17mph,Mostly Cloudy,2017-07-01
25,2:35 PM,90F,59%,17mph,Thunder,2017-07-01
26,2:52 PM,85F,63%,17mph,Thunder,2017-07-01
27,3:00 PM,81F,72%,26mph,Heavy T-Storm / Windy,2017-07-01
28,3:03 PM,78F,84%,24mph,Heavy T-Storm / Windy,2017-07-01
29,3:06 PM,75F,90%,21mph,Heavy T-Storm / Windy,2017-07-01
30,3:11 PM,73F,90%,3mph,Heavy T-Storm,2017-07-01
31,3:16 PM,75F,84%,13mph,Light Rain with Thunder,2017-07-01
32,3:28 PM,76F,91%,5mph,Light Rain with Thunder,2017-07-01
33,3:42 PM,79F,84%,0mph,Cloudy,2017-07-01
34,3:52 PM,78F,79%,0mph,Mostly Cloudy,2017-07-01
35,4:52 PM,81F,77%,0mph,Partly Cloudy,2017-07-01
36,5:52 PM,84F,67%,0mph,Partly Cloudy,2017-07-01
37,6:52 PM,84F,74%,0mph,Fair,2017-07-01
38,7:35 PM,84F,74%,0mph,Thunder in the Vicinity,2017-07-01
39,7:52 PM,83F,82%,3mph,Fair,2017-07-01
40,8:52 PM,81F,85%,6mph,Fair,2017-07-01
41,9:52 PM,79F,88%,8mph,Mostly Cloudy,2017-07-01
42,10:52 PM,77F,90%,6mph,Cloudy,2017-07-01
43,11:52 PM,77F,88%,6mph,Mostly Cloudy,2017-07-02
44,12:52 AM,77F,88%,3mph,Mostly Cloudy,2017-07-02
45,1:52 AM,77F,88%,3mph,Mostly Cloudy,2017-07-02
46,2:52 AM,77F,90%,0mph,Mostly Cloudy,2017-07-02
47,3:52 AM,76F,91%,0mph,Mostly Cloudy,2017-07-02
48,4:52 AM,76F,91%,3mph,Partly Cloudy,2017-07-02
49,5:52 AM,77F,88%,3mph,Partly Cloudy,2017-07-02
50,6:52 AM,82F,65%,3mph,Partly Cloudy,2017-07-02
51,7:52 AM,84F,61%,6mph,Partly Cloudy,2017-07-02
52,8:52 AM,85F,57%,5mph,Mostly Cloudy,2017-07-02
53,9:52 AM,87F,55%,8mph,Mostly Cloudy,2017-07-02
54,10:52 AM,87F,51%,5mph,Mostly Cloudy,2017-07-02
55,11:52 AM,90F,43%,5mph,Mostly Cloudy,2017-07-02
56,12:52 PM,91F,42%,9mph,Mostly Cloudy,2017-07-02
57,1:52 PM,92F,39%,7mph,Mostly Cloudy,2017-07-02
58,2:52 PM,91F,41%,6mph,Mostly Cloudy,2017-07-02
59,3:52 PM,91F,42%,9mph,Cloudy,2017-07-02
60,4:09 PM,92F,42%,12mph,Mostly Cloudy,2017-07-02
61,4:52 PM,90F,45%,14mph,Mostly Cloudy,2017-07-02
62,5:52 PM,86F,57%,7mph,Mostly Cloudy,2017-07-02
63,6:52 PM,84F,65%,5mph,Cloudy,2017-07-02
64,7:52 PM,84F,69%,9mph,Cloudy,2017-07-02
65,8:52 PM,83F,69%,6mph,Mostly Cloudy,2017-07-02
66,9:52 PM,82F,74%,8mph,Cloudy,2017-07-02
67,10:52 PM,80F,81%,6mph,Cloudy,2017-07-02
68,11:52 PM,80F,81%,6mph,Cloudy,2017-07-03
69,12:52 AM,80F,79%,3mph,Cloudy,2017-07-03
70,1:52 AM,79F,77%,3mph,Mostly Cloudy,2017-07-03
71,2:52 AM,77F,84%,0mph,Mostly Cloudy,2017-07-03
72,3:52 AM,78F,79%,0mph,Partly Cloudy,2017-07-03
73,4:52 AM,75F,84%,7mph,Mostly Cloudy,2017-07-03
74,5:52 AM,78F,74%,6mph,Mostly Cloudy,2017-07-03
75,6:52 AM,81F,62%,8mph,Partly Cloudy,2017-07-03
76,7:52 AM,84F,56%,9mph,Fair,2017-07-03
77,8:52 AM,86F,49%,13mph,Partly Cloudy,2017-07-03
78,9:52 AM,88F,46%,12mph,Partly Cloudy,2017-07-03
79,10:52 AM,89F,42%,10mph,Partly Cloudy,2017-07-03
80,11:52 AM,90F,38%,7mph,Mostly Cloudy,2017-07-03
81,12:52 PM,91F,38%,9mph,Mostly Cloudy,2017-07-03
82,1:52 PM,90F,38%,10mph,Mostly Cloudy,2017-07-03
83,2:52 PM,90F,40%,7mph,Mostly Cloudy,2017-07-03
84,3:52 PM,91F,35%,5mph,Mostly Cloudy,2017-07-03
85,4:52 PM,89F,36%,5mph,Mostly Cloudy,2017-07-03
86,5:52 PM,89F,40%,3mph,Mostly Cloudy,2017-07-03
87,6:52 PM,87F,41%,8mph,Mostly Cloudy,2017-07-03
88,7:52 PM,85F,44%,6mph,Mostly Cloudy,2017-07-03
