,time,temp,hum,wind,weather,date
0,11:52 PM,57F,59%,14mph,Fair,2017-10-01
1,12:52 AM,56F,62%,14mph,Fair,2017-10-01
2,1:52 AM,55F,62%,13mph,Fair,2017-10-01
3,2:52 AM,53F,69%,10mph,Fair,2017-10-01
4,3:52 AM,52F,71%,10mph,Fair,2017-10-01
5,4:52 AM,53F,69%,13mph,Fair,2017-10-01
6,5:52 AM,52F,71%,8mph,Fair,2017-10-01
7,6:52 AM,53F,71%,8mph,Fair,2017-10-01
8,7:52 AM,56F,64%,7mph,Fair,2017-10-01
9,8:52 AM,60F,60%,9mph,Fair,2017-10-01
10,9:52 AM,62F,56%,6mph,Fair,2017-10-01
11,10:52 AM,65F,50%,5mph,Fair,2017-10-01
12,11:52 AM,67F,49%,6mph,Partly Cloudy,2017-10-01
13,12:52 PM,68F,45%,0mph,Fair,2017-10-01
14,1:52 PM,70F,42%,9mph,Fair,2017-10-01
15,2:52 PM,70F,42%,0mph,Fair,2017-10-01
16,3:52 PM,69F,44%,0mph,Fair,2017-10-01
17,4:52 PM,68F,49%,8mph,Fair,2017-10-01
18,5:52 PM,65F,52%,7mph,Fair,2017-10-01
19,6:52 PM,64F,56%,6mph,Fair,2017-10-01
20,7:52 PM,62F,70%,3mph,Fair,2017-10-01
21,8:52 PM,61F,75%,0mph,Fair,2017-10-01
22,9:52 PM,60F,72%,0mph,Fair,2017-10-01
23,10:52 PM,59F,75%,0mph,Fair,2017-10-01
0,11:52 PM,57F,77%,0mph,Fair,2017-10-02
1,12:52 AM,57F,83%,3mph,Fair,2017-10-02
2,1:52 AM,56F,84%,0mph,Fair,2017-10-02
3,2:52 AM,55F,83%,0mph,Mostly Cloudy,2017-10-02
4,3:52 AM,53F,89%,3mph,Partly Cloudy,2017-10-02
5,4:52 AM,53F,86%,0mph,Partly Cloudy,2017-10-02
6,5:52 AM,54F,86%,0mph,Fair,2017-10-02
7,6:52 AM,55F,83%,0mph,Fair,2017-10-02
8,7:52 AM,60F,80%,0mph,Fair,2017-10-02
9,8:52 AM,62F,72%,3mph,Fair,2017-10-02
10,9:52 AM,66F,65%,3mph,Fair,2017-10-02
