,time,temp,hum,wind,weather,date
0,11:52 PM,73F,73%,13mph,Cloudy,2017-09-01
1,12:52 AM,72F,68%,12mph,Mostly Cloudy,2017-09-01
2,1:52 AM,71F,66%,12mph,Mostly Cloudy,2017-09-01
3,2:52 AM,69F,65%,13mph,Mostly Cloudy,2017-09-01
4,3:52 AM,67F,66%,17mph,Cloudy,2017-09-01
5,4:52 AM,66F,59%,20mph,Cloudy,2017-09-01
6,5:52 AM,64F,65%,17mph,Cloudy,2017-09-01
7,6:52 AM,63F,65%,18mph,Cloudy,2017-09-01
8,7:52 AM,63F,60%,13mph,Cloudy,2017-09-01
9,8:52 AM,64F,58%,14mph,Cloudy,2017-09-01
10,9:52 AM,64F,60%,7mph,Cloudy,2017-09-01
11,10:52 AM,64F,60%,12mph,Cloudy,2017-09-01
12,11:52 AM,64F,58%,12mph,Cloudy,2017-09-01
13,12:52 PM,65F,54%,7mph,Cloudy,2017-09-01
14,1:52 PM,66F,52%,10mph,Cloudy,2017-09-01
15,2:52 PM,66F,52%,6mph,Cloudy,2017-09-01
16,3:52 PM,66F,50%,3mph,Cloudy,2017-09-01
17,4:52 PM,67F,52%,8mph,Cloudy,2017-09-01
18,5:52 PM,65F,58%,8mph,Mostly Cloudy,2017-09-01
19,6:52 PM,64F,63%,6mph,Cloudy,2017-09-01
20,7:52 PM,64F,63%,6mph,Cloudy,2017-09-01
21,8:52 PM,64F,65%,6mph,Cloudy,2017-09-01
22,9:52 PM,64F,60%,5mph,Cloudy,2017-09-01
23,10:52 PM,63F,65%,7mph,Cloudy,2017-09-01
24,11:52 PM,64F,65%,8mph,Cloudy,2017-09-02
25,12:52 AM,63F,70%,8mph,Cloudy,2017-09-02
26,1:52 AM,63F,70%,9mph,Cloudy,2017-09-02
27,2:52 AM,62F,75%,5mph,Light Rain,2017-09-02
28,3:52 AM,62F,72%,8mph,Light Rain,2017-09-02
29,4:52 AM,59F,87%,6mph,Light Rain,2017-09-02
30,5:52 AM,57F,93%,13mph,Light Rain,2017-09-02
31,6:07 AM,57F,96%,14mph,Rain,2017-09-02
32,6:09 AM,57F,96%,15mph,Heavy Rain,2017-09-02
33,6:20 AM,57F,96%,14mph,Heavy Rain,2017-09-02
34,6:45 AM,58F,90%,14mph,Light Rain,2017-09-02
35,6:47 AM,57F,94%,13mph,Light Rain,2017-09-02
36,6:52 AM,58F,93%,12mph,Light Rain,2017-09-02
37,7:47 AM,59F,94%,12mph,Light Rain,2017-09-02
38,7:52 AM,59F,93%,10mph,Heavy Rain,2017-09-02
39,7:54 AM,59F,93%,10mph,Heavy Rain,2017-09-02
40,8:02 AM,59F,96%,10mph,Rain,2017-09-02
