,TF,Humidity,Windspeed,weather,Date,hour,cnt
0,46F,39%,9mph,Mostly Cloudy,2017-01-01,0,77
1,44F,42%,9mph,Partly Cloudy,2017-01-01,1,80
2,43F,45%,13mph,Partly Cloudy,2017-01-01,2,62
3,41F,49%,5mph,Partly Cloudy,2017-01-01,3,18
4,40F,51%,5mph,Partly Cloudy,2017-01-01,4,5
5,40F,60%,3mph,Partly Cloudy,2017-01-01,5,5
6,39F,62%,0mph,Mostly Cloudy,2017-01-01,6,8
7,40F,63%,3mph,Mostly Cloudy,2017-01-01,7,24
8,44F,53%,0mph,Mostly Cloudy,2017-01-01,8,53
9,45F,52%,0mph,Mostly Cloudy,2017-01-01,9,108
10,49F,46%,0mph,Mostly Cloudy,2017-01-01,10,168
11,53F,45%,10mph,Mostly Cloudy,2017-01-01,11,248
12,54F,43%,5mph,Mostly Cloudy,2017-01-01,12,375
13,55F,43%,6mph,Mostly Cloudy,2017-01-01,13,420
14,55F,43%,3mph,Mostly Cloudy,2017-01-01,14,522
15,53F,48%,3mph,Mostly Cloudy,2017-01-01,15,546
16,50F,52%,5mph,Mostly Cloudy,2017-01-01,16,390
17,47F,61%,3mph,Mostly Cloudy,2017-01-01,17,301
18,46F,61%,8mph,Mostly Cloudy,2017-01-01,18,184
19,47F,54%,0mph,Cloudy,2017-01-01,19,162
20,46F,56%,0mph,Cloudy,2017-01-01,20,110
21,43F,76%,0mph,Cloudy,2017-01-01,21,91
22,46F,61%,6mph,Cloudy,2017-01-01,22,60
23,47F,59%,6mph,Cloudy,2017-01-01,23,46
24,46F,63%,0mph,Cloudy,2017-01-02,0,45
25,44F,71%,0mph,Light Rain,2017-01-02,1,22
26,42F,85%,6mph,Light Drizzle,2017-01-02,2,6
27,42F,89%,7mph,Light Drizzle,2017-01-02,3,1
28,41F,96%,7mph,Light Rain,2017-01-02,4,2
29,41F,96%,10mph,Light Drizzle,2017-01-02,5,10
30,41F,96%,9mph,Light Drizzle,2017-01-02,6,20
31,41F,100%,8mph,Light Drizzle,2017-01-02,7,33
32,42F,96%,7mph,Light Rain,2017-01-02,8,41
33,43F,97%,8mph,Light Rain,2017-01-02,9,50
34,44F,96%,8mph,Light Rain,2017-01-02,10,76
35,45F,97%,9mph,Fog,2017-01-02,11,119
36,44F,100%,10mph,Light Rain,2017-01-02,12,103
37,44F,96%,9mph,Light Rain,2017-01-02,13,94
38,44F,96%,9mph,Light Rain,2017-01-02,14,85
39,44F,96%,12mph,Light Rain,2017-01-02,15,98
40,44F,96%,9mph,Light Drizzle,2017-01-02,16,143
41,44F,96%,9mph,Light Drizzle,2017-01-02,17,171
42,44F,100%,9mph,Light Drizzle,2017-01-02,18,150
43,44F,96%,9mph,Light Drizzle,2017-01-02,19,114
44,44F,96%,7mph,Cloudy,2017-01-02,20,95
45,44F,96%,9mph,Cloudy,2017-01-02,21,77
46,44F,96%,8mph,Light Drizzle,2017-01-02,22,50
47,43F,100%,8mph,Light Drizzle,2017-01-02,23,33
48,43F,100%,8mph,Light Drizzle,2017-01-03,0,13
49,43F,97%,9mph,Light Drizzle,2017-01-03,1,5
50,43F,100%,6mph,Light Drizzle,2017-01-03,2,2
51,43F,100%,7mph,Light Drizzle,2017-01-03,3,0
52,43F,97%,9mph,Light Drizzle,2017-01-03,4,2
53,43F,97%,7mph,Light Rain,2017-01-03,5,47
54,43F,97%,7mph,Light Rain,2017-01-03,6,89
55,43F,97%,7mph,Light Rain,2017-01-03,7,130
56,43F,97%,7mph,Rain,2017-01-03,8,178
57,43F,100%,8mph,Rain,2017-01-03,9,57
58,45F,97%,3mph,Light Rain,2017-01-03,10,37
59,45F,97%,5mph,Light Rain,2017-01-03,11,52
60,45F,97%,6mph,Cloudy,2017-01-03,12,82
61,46F,96%,0mph,Cloudy,2017-01-03,13,125
62,45F,97%,3mph,Cloudy,2017-01-03,14,129
63,45F,97%,0mph,Cloudy,2017-01-03,15,221
64,46F,93%,8mph,Cloudy,2017-01-03,16,391
65,46F,93%,7mph,Cloudy,2017-01-03,17,766
66,46F,89%,6mph,Cloudy,2017-01-03,18,637
67,46F,89%,5mph,Cloudy,2017-01-03,19,338
68,45F,97%,6mph,Cloudy,2017-01-03,20,195
69,45F,100%,6mph,Fog,2017-01-03,21,142
70,46F,96%,5mph,Cloudy,2017-01-03,22,97
71,46F,100%,6mph,Cloudy,2017-01-03,23,36
72,45F,100%,9mph,Fog,2017-01-04,0,16
73,46F,100%,5mph,Fog,2017-01-04,1,8
74,47F,100%,9mph,Fog,2017-01-04,2,6
75,47F,100%,6mph,Fog,2017-01-04,3,1
76,47F,100%,5mph,Cloudy,2017-01-04,4,8
77,46F,100%,3mph,Mostly Cloudy,2017-01-04,5,66
78,45F,97%,5mph,Mostly Cloudy,2017-01-04,6,234
79,44F,100%,10mph,Fog,2017-01-04,7,633
80,47F,100%,8mph,Fog,2017-01-04,8,945
81,48F,100%,5mph,Mist,2017-01-04,9,423
82,49F,100%,3mph,Cloudy,2017-01-04,10,113
