,time,temp,hum,wind,weather,date
0,11:52 PM,46F,73%,6mph,Mostly Cloudy,2017-11-01
1,12:52 AM,46F,76%,9mph,Partly Cloudy,2017-11-01
2,1:52 AM,47F,74%,10mph,Cloudy,2017-11-01
3,2:52 AM,46F,73%,7mph,Mostly Cloudy,2017-11-01
4,3:52 AM,46F,73%,7mph,Cloudy,2017-11-01
5,4:52 AM,46F,71%,7mph,Partly Cloudy,2017-11-01
6,5:52 AM,46F,73%,7mph,Cloudy,2017-11-01
7,6:52 AM,47F,71%,10mph,Cloudy,2017-11-01
8,7:12 AM,47F,71%,9mph,Cloudy,2017-11-01
9,7:52 AM,48F,68%,8mph,Cloudy,2017-11-01
10,8:12 AM,49F,66%,7mph,Cloudy,2017-11-01
11,8:52 AM,50F,68%,8mph,Cloudy,2017-11-01
12,9:52 AM,53F,66%,9mph,Cloudy,2017-11-01
13,10:52 AM,55F,64%,6mph,Cloudy,2017-11-01
14,11:27 AM,56F,64%,3mph,Cloudy,2017-11-01
15,11:52 AM,57F,64%,5mph,Cloudy,2017-11-01
16,12:52 PM,59F,64%,5mph,Cloudy,2017-11-01
17,1:52 PM,63F,63%,5mph,Cloudy,2017-11-01
18,2:52 PM,63F,67%,3mph,Mostly Cloudy,2017-11-01
19,3:17 PM,64F,67%,5mph,Cloudy,2017-11-01
20,3:52 PM,63F,70%,3mph,Cloudy,2017-11-01
21,4:52 PM,58F,87%,7mph,Light Rain,2017-11-01
22,5:52 PM,60F,78%,3mph,Mostly Cloudy,2017-11-01
23,6:52 PM,59F,83%,0mph,Cloudy,2017-11-01
24,7:52 PM,57F,89%,3mph,Cloudy,2017-11-01
25,8:52 PM,56F,97%,5mph,Mostly Cloudy,2017-11-01
26,9:52 PM,54F,86%,5mph,Mostly Cloudy,2017-11-01
27,10:52 PM,53F,83%,7mph,Cloudy,2017-11-01
0,11:52 PM,53F,80%,5mph,Cloudy,2017-11-02
1,12:52 AM,53F,80%,5mph,Cloudy,2017-11-02
2,1:52 AM,52F,86%,3mph,Mostly Cloudy,2017-11-02
3,2:52 AM,52F,86%,0mph,Cloudy,2017-11-02
4,3:52 AM,53F,89%,0mph,Cloudy,2017-11-02
5,4:52 AM,53F,89%,0mph,Cloudy,2017-11-02
6,5:52 AM,54F,90%,3mph,Cloudy,2017-11-02
7,6:52 AM,54F,93%,3mph,Cloudy,2017-11-02
8,7:52 AM,56F,97%,3mph,Cloudy,2017-11-02
9,8:52 AM,59F,90%,6mph,Mostly Cloudy,2017-11-02
10,9:52 AM,63F,84%,10mph,Partly Cloudy,2017-11-02
11,10:52 AM,70F,65%,7mph,Fair,2017-11-02
12,11:52 AM,70F,65%,10mph,Partly Cloudy,2017-11-02
13,12:52 PM,73F,61%,14mph,Fair,2017-11-02
14,1:52 PM,75F,57%,10mph,Fair,2017-11-02
15,2:52 PM,76F,54%,12mph,Partly Cloudy,2017-11-02
16,3:52 PM,71F,66%,10mph,Partly Cloudy,2017-11-02
17,4:52 PM,69F,70%,10mph,Partly Cloudy,2017-11-02
18,5:52 PM,68F,73%,9mph,Partly Cloudy,2017-11-02
19,6:52 PM,65F,81%,7mph,Partly Cloudy,2017-11-02
20,7:52 PM,63F,87%,7mph,Partly Cloudy,2017-11-02
21,8:52 PM,64F,87%,7mph,Partly Cloudy,2017-11-02
22,9:52 PM,62F,86%,8mph,Mostly Cloudy,2017-11-02
23,10:52 PM,61F,90%,7mph,Partly Cloudy,2017-11-02
0,11:52 PM,62F,90%,7mph,Fair,2017-11-03
1,12:52 AM,61F,90%,6mph,Fair,2017-11-03
2,1:52 AM,61F,93%,0mph,Fair,2017-11-03
3,2:52 AM,59F,96%,0mph,Partly Cloudy,2017-11-03
4,3:52 AM,59F,96%,6mph,Fair,2017-11-03
5,4:52 AM,58F,100%,7mph,Fair,2017-11-03
6,5:52 AM,59F,96%,5mph,Fair,2017-11-03
7,6:52 AM,60F,93%,3mph,Fair,2017-11-03
8,7:52 AM,61F,93%,6mph,Fair,2017-11-03
9,8:52 AM,63F,90%,8mph,Mostly Cloudy,2017-11-03
10,9:52 AM,66F,78%,7mph,Mostly Cloudy,2017-11-03
11,10:52 AM,68F,76%,7mph,Fair,2017-11-03
12,11:52 AM,73F,66%,7mph,Mostly Cloudy,2017-11-03
13,12:52 PM,75F,62%,5mph,Mostly Cloudy,2017-11-03
14,1:52 PM,78F,52%,14mph,Mostly Cloudy,2017-11-03
15,2:52 PM,77F,58%,10mph,Cloudy,2017-11-03
16,3:52 PM,76F,58%,10mph,Cloudy,2017-11-03
17,4:52 PM,74F,62%,9mph,Mostly Cloudy,2017-11-03
18,5:52 PM,72F,68%,8mph,Cloudy,2017-11-03
19,6:52 PM,71F,68%,9mph,Cloudy,2017-11-03
20,7:52 PM,70F,65%,16mph,Cloudy,2017-11-03
21,8:52 PM,67F,68%,13mph,Mostly Cloudy,2017-11-03
22,9:52 PM,65F,70%,16mph,Mostly Cloudy,2017-11-03
23,10:26 PM,64F,70%,13mph,Mostly Cloudy,2017-11-03
24,10:52 PM,63F,67%,18mph,Mostly Cloudy,2017-11-03
0,11:52 PM,60F,72%,16mph,Fair,2017-11-04
1,12:52 AM,57F,67%,15mph,Mostly Cloudy,2017-11-04
2,1:52 AM,56F,62%,13mph,Mostly Cloudy,2017-11-04
3,2:52 AM,54F,66%,9mph,Mostly Cloudy,2017-11-04
4,3:52 AM,53F,66%,14mph,Mostly Cloudy,2017-11-04
5,4:52 AM,52F,69%,14mph,Mostly Cloudy,2017-11-04
6,5:52 AM,51F,66%,10mph,Cloudy,2017-11-04
7,6:52 AM,50F,66%,12mph,Mostly Cloudy,2017-11-04
8,7:52 AM,49F,66%,12mph,Cloudy,2017-11-04
9,8:52 AM,50F,66%,10mph,Cloudy,2017-11-04
10,9:52 AM,51F,66%,7mph,Cloudy,2017-11-04
11,10:52 AM,54F,62%,9mph,Mostly Cloudy,2017-11-04
12,11:52 AM,57F,55%,5mph,Mostly Cloudy,2017-11-04
13,12:52 PM,57F,59%,6mph,Cloudy,2017-11-04
14,1:52 PM,60F,55%,5mph,Cloudy,2017-11-04
15,2:52 PM,59F,62%,8mph,Cloudy,2017-11-04
16,3:52 PM,57F,67%,10mph,Light Rain,2017-11-04
17,4:52 PM,56F,72%,7mph,Light Rain,2017-11-04
18,5:52 PM,56F,75%,3mph,Light Rain,2017-11-04
19,6:52 PM,54F,86%,3mph,Light Rain,2017-11-04
20,7:36 PM,53F,93%,5mph,Light Rain,2017-11-04
21,7:52 PM,53F,93%,6mph,Rain,2017-11-04
22,8:31 PM,53F,96%,8mph,Light Rain,2017-11-04
23,8:52 PM,53F,96%,5mph,Heavy Rain,2017-11-04
24,9:01 PM,54F,97%,0mph,Rain,2017-11-04
25,9:13 PM,54F,93%,0mph,Heavy Rain,2017-11-04
26,9:15 PM,54F,93%,0mph,Rain,2017-11-04
27,9:24 PM,54F,93%,0mph,Light Rain,2017-11-04
28,9:52 PM,54F,97%,3mph,Light Rain,2017-11-04
29,10:52 PM,54F,100%,5mph,Light Drizzle,2017-11-04
0,11:52 PM,54F,100%,6mph,Light Drizzle,2017-11-05
1,12:48 AM,54F,100%,7mph,Light Drizzle,2017-11-05
2,12:52 AM,55F,96%,7mph,Light Drizzle,2017-11-05
3,1:52 AM,55F,96%,6mph,Light Drizzle,2017-11-05
4,2:05 AM,54F,100%,6mph,Light Drizzle,2017-11-05
5,2:52 AM,54F,100%,6mph,Light Drizzle,2017-11-05
6,3:03 AM,54F,100%,6mph,Light Drizzle,2017-11-05
7,3:44 AM,55F,96%,5mph,Light Drizzle,2017-11-05
8,3:52 AM,55F,96%,6mph,Light Drizzle,2017-11-05
9,4:07 AM,54F,100%,7mph,Light Drizzle,2017-11-05
10,4:18 AM,55F,96%,6mph,Light Drizzle,2017-11-05
11,4:52 AM,55F,100%,3mph,Light Drizzle,2017-11-05
12,5:52 AM,55F,100%,5mph,Light Drizzle,2017-11-05
13,6:38 AM,55F,100%,0mph,Light Drizzle,2017-11-05
14,6:52 AM,55F,100%,5mph,Light Drizzle,2017-11-05
15,7:35 AM,56F,97%,3mph,Light Drizzle,2017-11-05
16,7:52 AM,56F,97%,3mph,Light Drizzle,2017-11-05
17,8:46 AM,55F,100%,3mph,Light Drizzle,2017-11-05
18,8:52 AM,56F,100%,3mph,Light Drizzle,2017-11-05
